Company,Segment,City,State,OwnerFirst,OwnerLast,OwnerRole,PhoneMain,PhoneDirect,Website,FilingState,FilingDate,SecuredParty,Why,EvidenceURL1_UCCPortal,EvidenceURL2_Verification,Notes
"Fiore & Sons, Inc.",Heavy/Civil Contractor,Denver,CO,Larry (Butch),Fiore Jr.,President (family-owned),303-429-8893,,https://www.fioreandsons.com/,CO,,,Family-owned heavy civil contractor with equipment-intensive operations; frequent need for working capital on projects.,https://www.sos.state.co.us/ucc/,https://www.fioreandsons.com/contact/,Leadership page lists ownership; direct owner phone not publicly listed.
"Posillico, Inc.",Heavy/Civil Contractor,Farmingdale,NY,Joseph,Posillico,President & CEO,631-390-5700,,https://www.posillicoinc.com/,NY,,,Large civil contractor; equipment-intensive; potential for short-term cash flow gaps on public/private projects.,https://appext20.dos.ny.gov/pls/ucc_public/web_search.main_frame,https://www.posillicoinc.com/contact/,Team page confirms Joseph K. Posillico leadership; multiple published phones by division.
Halmar International LLC,Heavy/Civil Contractor,Nanuet,NY,Paul,Atkins,COO / Co-owner,845-735-3511,,https://halmar.com/,NY,,,Transit and infrastructure projects with high equipment utilization and milestone-based pay; fits MCA use cases.,https://appext20.dos.ny.gov/pls/ucc_public/web_search.main_frame,https://halmar.com/contact/,Owner identification via executive bios; direct line not public.
"Lakeside Industries, Inc.",Asphalt / Paving,Issaquah,WA,Michael,Lee,CEO & Chair,425-313-2600,,https://www.lakesideindustries.com/,WA,,,"Seasonal revenue, heavy equipment and materials purchases; MCA may bridge timing gaps.",https://dol.wa.gov/professional-licenses/uniform-commercial-code-ucc/ucc-online-filing-and-searches,https://www.lakesideindustries.com/about/,Leadership page confirms executives; general office phone published.
"McCann Industries, Inc.",Equipment Dealer/Rental,Addison,IL,Jim,McCann,Owner & CEO,630-627-0000,,https://www.mccannindustries.com/,IL,,,Privately held dealer; floorplan financing and rental fleet capex often create timing needs.,https://apps.ilsos.gov/uccsearch/,https://www.mccannindustries.com/news/,News page references leadership; main line verified.
Peak Machinery (Bobcat of Seattle),Equipment Dealer,Auburn,WA,Don,Pugh,Chairman (Peak Industrial),253-850-8140,,https://peak-machinery.com/,WA,,,Bobcat dealer with active sales/service; smaller regional operation—often receptive to flexible working capital.,https://dol.wa.gov/professional-licenses/uniform-commercial-code-ucc/ucc-online-filing-and-searches,https://peak-machinery.com/contact/,Site lists contact emails; ownership is via Peak Industrial group.
"4Rivers Equipment, LLC (HQ)",Equipment Dealer/Rental (John Deere),Greeley,CO,,,Executive leadership (private),970-313-2526,,https://www.4riversequipment.com/,CO,,,Large fleet dealer with heavy capex; floorplan/UCC-secured lines common; opportunities for short-term cash solutions.,https://www.sos.state.co.us/ucc/,https://safer.fmcsa.dot.gov/query.asp?query_param=USDOT&query_string=437454&query_type=queryCarrierSnapshot&searchtype=ANY,DOT snapshot lists corporate phone; owner names not public; pursue via private enrichment.
Honnen Equipment (Denver/Commerce City),Equipment Dealer/Rental (John Deere),Commerce City,CO,,,Executive leadership (private),303-287-7506,,https://www.honnen.com/,CO,,,Dealer/renter with consistent equipment turnover; potential short-term working capital needs.,https://www.sos.state.co.us/ucc/,https://www.equipmentradar.com/en/honnen-equipment-denver,Branch phone verified; executive names to be enriched on next pass.
Sunstate Equipment (Denver),Equipment Rental,Commerce City,CO,,,Executive leadership (private),720-322-7000,,https://www.sunstateequip.com/locations/CO/Commerce%20City/DNV,CO,,,High rental utilization; cash flow swings; potential appetite for MCA to bridge receivables cycles.,https://www.sos.state.co.us/ucc/,https://www.sunstateequip.com/locations/CO/Commerce%20City/DNV,After-hours support listed; can pursue district ops manager for decision-maker enrichment.
United Rentals (Denver East),Equipment Rental,Denver,CO,,,Branch/Regional leadership,303-576-3500,,https://www.unitedrentals.com/locations/co/denver/equipment-tool-rentals/q90,CO,,,"Large national renter; MCA unlikely at corp level, but branch referrals and vendor programs possible.",https://www.sos.state.co.us/ucc/,https://www.unitedrentals.com/locations/co/denver,Better for referral/channel partnerships vs. direct MCA; include for vendor-finance conversations.
Coastline Equipment (Long Beach),Equipment Dealer (John Deere),Long Beach,CA,Buck,Baird,President & GM,562-272-7400,,https://www.coastlineequipment.com/locations/long-beach-ca,CA,,,Dealer with active rental/sales; branch-level financing pain points present opportunities.,https://bizfileonline.sos.ca.gov/search/ucc,https://www.coastlineequipment.com/blog/2024-onyx-circle,Public sources confirm president; main line verified.
Papé Material Handling (Fresno),Equipment Dealer (Material Handling),Fresno,CA,Jordan,Papé,President & CEO (The Papé Group),559-487-1160,,https://www.papemh.com/locations/fresno-ca,CA,,,Lift truck dealer; inventory financing and rental fleet cash cycles; EBL introductions possible.,https://bizfileonline.sos.ca.gov/search/ucc,https://oregonbusinessindustry.com/oregon-business-matters-talks-with-jordan-pape-ceo-of-the-pape-group/,Corporate CEO referenced; branch phone verified.
United Site Services (Riviera Beach),Site Services (Construction Support),Riviera Beach,FL,Bobby,Creason,Chief Executive Officer,800-864-5387,,https://www.unitedsiteservices.com/locations/florida/miami/riviera-beach,FL,,,Construction support firm with seasonal demand; potential MCA for regional ops and receivables timing.,https://floridaucc.com/,https://www.unitedsiteservices.com/people/bobby-creason/,Company leadership page confirms CEO as of Oct 2024; branch phone verified.
Ring Power Corporation (HQ),Equipment Dealer (Caterpillar),St. Augustine,FL,Randal (Randy),Ringhaver,Chairman & CEO,904-494-1200,,https://www.ringpower.com/,FL,,,Large dealer; partner programs and vendor finance referrals more likely than direct MCA.,https://floridaucc.com/,https://www.ringpower.com/about-us/our-story/,Sunbiz corporate record confirms officers; main phone via corporate directory.
Quinn Company (HQ),Equipment Dealer (Caterpillar),City of Industry,CA,Parker,Quinn,"Dealer Principal, CEO & President",562-463-4000,,https://www.quinncompany.com/,CA,,,Large multi-branch dealer; explore vendor programs and subdealer/contractor intros for MCA/EBL.,https://bizfileonline.sos.ca.gov/search/ucc,https://www.quinncompany.com/our-company/history/,Corporate page notes leadership transition 2021; main phone verified.
Hawthorne Cat (HQ),Equipment Dealer (Caterpillar),San Diego,CA,David,Ness,President & CEO,858-674-7000,,https://www.hawthornecat.com/,CA,,,Regional dealer; opportunities for customer referrals (contractors) and EBL placements.,https://bizfileonline.sos.ca.gov/search/ucc,https://www.hawthornecat.com/david-ness-president-ceo/,Corporate HQ page lists phone; press release confirms CEO.
